chk_acct,duration,credit_his,purpose,amount,saving_acct,present_emp,installment_rate,sex_status,other_debtor,present_resid,property,age,other_install,housing,n_credits,job,n_people,telephone,response
CC < 0 €,6,existing credits paid back duly till now,radio/television,1169,unknown/ no savings account,>= 7 Y,>35%,male:single,none,res >7Y,real estate,67,No credits,own,2,j_skilled employee/official,1,"yes, registered under the customers name",0
CC [0 - 200 €],48,no credits taken/all credits paid back duly,radio/television,5951,< 100 €,[1 - 4) Y,[20- 25),female:divorced/separated/married,none,res_[1- res >7Y),real estate,22,No credits,own,1,j_skilled employee/official,1,none,1
No account,12,existing credits paid back duly till now,education,2096,< 100 €,[4 - 7) Y,[20- 25),male:single,none,res_[res >7Y- 7),real estate,49,No credits,own,1,j_unskilled,2,none,0
CC < 0 €,42,no credits taken/all credits paid back duly,furniture/equipment,7882,< 100 €,[4 - 7) Y,[20- 25),male:single,guarantor,res >7Y,Savings agreement/life insurance,45,No credits,for free,1,j_skilled employee/official,2,none,0
CC < 0 €,24,all credits at this bank paid back duly,car (new),4870,< 100 €,[1 - 4) Y,[25- 35),male:single,none,res >7Y,unknown / no property,53,No credits,for free,2,j_skilled employee/official,2,none,1
No account,36,no credits taken/all credits paid back duly,education,9055,unknown/ no savings account,[1 - 4) Y,[20- 25),male:single,none,res >7Y,unknown / no property,35,No credits,for free,1,j_unskilled,2,"yes, registered under the customers name",0
No account,24,no credits taken/all credits paid back duly,furniture/equipment,2835,[500 - 1000),>= 7 Y,[25- 35),male:single,none,res >7Y,Savings agreement/life insurance,53,No credits,own,1,j_skilled employee/official,1,none,0
CC [0 - 200 €],36,no credits taken/all credits paid back duly,car (used),6948,< 100 €,[1 - 4) Y,[20- 25),male:single,none,res_[1- res >7Y),car or other,35,No credits,rent,1,j_management/self-employed/highly qualified employee/ officer,1,"yes, registered under the customers name",0
No account,12,no credits taken/all credits paid back duly,radio/television,3059,>= 1000 €,[4 - 7) Y,[20- 25),male:divorced/separated,none,res >7Y,real estate,61,No credits,own,1,j_unskilled,1,none,0
CC [0 - 200 €],30,existing credits paid back duly till now,car (new),5234,< 100 €,unemployed,>35%,male:married/widowed,none,res_[1- res >7Y),car or other,28,No credits,own,2,j_management/self-employed/highly qualified employee/ officer,1,none,1
CC [0 - 200 €],12,no credits taken/all credits paid back duly,car (new),1295,< 100 €,< 1 Y,[25- 35),female:divorced/separated/married,none,res < 1Y,car or other,25,No credits,rent,1,j_skilled employee/official,1,none,1
CC < 0 €,48,no credits taken/all credits paid back duly,business,4308,< 100 €,< 1 Y,[25- 35),female:divorced/separated/married,none,res >7Y,Savings agreement/life insurance,24,No credits,rent,1,j_skilled employee/official,1,none,1
CC [0 - 200 €],12,no credits taken/all credits paid back duly,radio/television,1567,< 100 €,[1 - 4) Y,<[20- 25)0%,female:divorced/separated/married,none,res < 1Y,car or other,22,No credits,own,1,j_skilled employee/official,1,"yes, registered under the customers name",0
CC < 0 €,24,existing credits paid back duly till now,car (new),1199,< 100 €,>= 7 Y,>35%,male:single,none,res >7Y,car or other,60,No credits,own,2,j_unskilled,1,none,1
CC < 0 €,15,no credits taken/all credits paid back duly,car (new),1403,< 100 €,[1 - 4) Y,[20- 25),female:divorced/separated/married,none,res >7Y,car or other,28,No credits,rent,1,j_skilled employee/official,1,none,0
CC < 0 €,24,no credits taken/all credits paid back duly,radio/television,1282,[100 - 500),[1 - 4) Y,>35%,female:divorced/separated/married,none,res_[1- res >7Y),car or other,32,No credits,own,1,j_unskilled,1,none,1
No account,24,existing credits paid back duly till now,radio/television,2424,unknown/ no savings account,>= 7 Y,>35%,male:single,none,res >7Y,Savings agreement/life insurance,53,No credits,own,2,j_skilled employee/official,1,none,0
CC < 0 €,30,delay in paying off,business,8072,unknown/ no savings account,< 1 Y,[20- 25),male:single,none,res_[res >7Y- 7),car or other,25,Other banks,own,3,j_skilled employee/official,1,none,0
CC [0 - 200 €],24,no credits taken/all credits paid back duly,car (used),12579,< 100 €,>= 7 Y,>35%,female:divorced/separated/married,none,res_[1- res >7Y),unknown / no property,44,No credits,for free,1,j_management/self-employed/highly qualified employee/ officer,1,"yes, registered under the customers name",1
No account,24,no credits taken/all credits paid back duly,radio/television,3430,[500 - 1000),>= 7 Y,[25- 35),male:single,none,res_[1- res >7Y),car or other,31,No credits,own,1,j_skilled employee/official,2,"yes, registered under the customers name",0
No account,9,existing credits paid back duly till now,car (new),2134,< 100 €,[1 - 4) Y,>35%,male:single,none,res >7Y,car or other,48,No credits,own,3,j_skilled employee/official,1,"yes, registered under the customers name",0
CC < 0 €,6,no credits taken/all credits paid back duly,radio/television,2647,[500 - 1000),[1 - 4) Y,[20- 25),male:single,none,res_[res >7Y- 7),real estate,44,No credits,rent,1,j_skilled employee/official,2,none,0
CC < 0 €,10,existing credits paid back duly till now,car (new),2241,< 100 €,< 1 Y,<[20- 25)0%,male:single,none,res_[res >7Y- 7),real estate,48,No credits,rent,2,j_unskilled,2,none,0
CC [0 - 200 €],12,existing credits paid back duly till now,car (used),1804,[100 - 500),< 1 Y,[25- 35),male:single,none,res >7Y,Savings agreement/life insurance,44,No credits,own,1,j_skilled employee/official,1,none,0
No account,10,existing credits paid back duly till now,furniture/equipment,2069,unknown/ no savings account,[1 - 4) Y,[20- 25),male:married/widowed,none,res < 1Y,car or other,26,No credits,own,2,j_skilled employee/official,1,none,0
